zone,description
Q6,QUEENS WEST
S1,STATEN ISLAND
K5,BROOKLYN NORTH
Q7,QUEENS EAST
K1,BROOKLYN SOUTH
M1,MANHATTAN SOUTH
M2,MANHATTAN SOUTH
M3,MANHATTAN CENTRAL
M5,MANHATTAN CENTRAL
M4,MANHATTAN CENTRAL
M7,MANHATTAN NORTH
M8,MANHATTAN NORTH
M9,MANHATTAN NORTH
S2,STATEN ISLAND
B2,BRONX SOUTH
B3,BRONX NORTH
B5,BRONX NORTH
B4,BRONX NORTH
K4,BROOKLYN CENTRAL
K3,BROOKLYN CENTRAL
K6,BROOKLYN NORTH
K2,BROOKLYN SOUTH
K7,BROOKLYN NORTH
Q4,QUEENS WEST
Q2,QUEENS EAST
Q3,QUEENS WEST
M6,MANHATTAN NORTH
S3,STATEN ISLAND
B1,BRONX SOUTH
Q5,QUEENS EAST
Q1,QUEENS EAST
CW,CITYWIDE
